,adj_close,Date
0,56.118869781494105,2013-01-02
1,55.410530090332,2013-01-03
2,53.867073059082,2013-01-04
3,53.55020904541021,2013-01-07
4,53.6943359375,2013-01-08
5,52.85514068603521,2013-01-09
6,53.510345458984396,2013-01-10
7,53.1822319030762,2013-01-11
8,51.2861518859863,2013-01-14
9,49.6681060791016,2013-01-15
10,51.729763031005895,2013-01-16
11,51.381217956543,2013-01-17
12,51.107292175293,2013-01-18
13,51.59485244750979,2013-01-22
14,52.539306640625,2013-01-23
15,46.047664642334006,2013-01-24
16,44.9621429443359,2013-01-25
17,45.979190826415994,2013-01-28
18,46.8418655395508,2013-01-29
19,46.6946830749512,2013-01-30
20,46.557708740234396,2013-01-31
21,46.366569519043,2013-02-01
22,45.21154403686521,2013-02-04
23,46.7979202270508,2013-02-05
24,46.747833251953104,2013-02-06
25,49.882106781005895,2013-02-07
26,50.6022834777832,2013-02-08
27,51.129638671875,2013-02-11
28,49.8480110168457,2013-02-12
29,49.7531967163086,2013-02-13
30,49.7084541320801,2013-02-14
31,49.02343368530271,2013-02-15
32,49.00532531738279,2013-02-19
33,47.818511962890604,2013-02-20
34,47.521278381347706,2013-02-21
35,48.0273208618164,2013-02-22
36,47.173976898193395,2013-02-25
37,47.831298828125,2013-02-26
38,47.3625411987305,2013-02-27
39,47.024829864502,2013-02-28
40,45.8603935241699,2013-03-01
41,44.750282287597706,2013-03-04
42,45.931770324707,2013-03-05
43,45.3479537963867,2013-03-06
44,45.8721122741699,2013-03-07
45,45.9935646057129,2013-03-08
46,46.6487503051758,2013-03-11
47,45.6430549621582,2013-03-12
48,45.6345291137695,2013-03-13
49,46.0766525268555,2013-03-14
50,47.2656021118164,2013-03-15
51,48.55041122436521,2013-03-18
52,48.419376373290994,2013-03-19
53,48.162624359130895,2013-03-20
54,48.2318725585938,2013-03-21
55,49.2098731994629,2013-03-22
56,49.387786865234396,2013-03-25
57,49.127838134765604,2013-03-26
58,48.162624359130895,2013-03-27
59,47.1590576171875,2013-03-28
60,45.69418716430661,2013-04-01
61,45.7879447937012,2013-04-02
62,46.022331237793,2013-04-03
63,45.5674057006836,2013-04-04
64,45.0858688354492,2013-04-05
65,45.4065475463867,2013-04-08
66,45.4885787963867,2013-04-09
67,46.41650390625,2013-04-10
68,46.2716217041016,2013-04-11
69,45.7890090942383,2013-04-12
70,44.7289848327637,2013-04-15
71,45.409740447998,2013-04-16
72,42.9125480651855,2013-04-17
73,41.7672843933105,2013-04-18
74,41.605354309081996,2013-04-19
75,42.4725570678711,2013-04-22
76,43.267307281494105,2013-04-23
77,43.1959342956543,2013-04-24
78,43.5070190429688,2013-04-25
79,44.446662902832,2013-04-26
80,45.8231010437012,2013-04-29
81,47.1718406677246,2013-04-30
82,46.8000373840332,2013-05-01
83,47.463752746582,2013-05-02
