,adj_close,Dates
0,18.704624176025398,2008-01-02
1,18.713264465332,2008-01-03
2,17.284782409668,2008-01-04
3,17.0534248352051,2008-01-07
4,16.4399833679199,2008-01-08
5,17.2223834991455,2008-01-09
6,17.0899028778076,2008-01-10
7,16.578227996826197,2008-01-11
8,17.162864685058597,2008-01-14
9,16.2278251647949,2008-01-15
10,15.3254289627075,2008-01-16
11,15.445423126220698,2008-01-17
12,15.4905471801758,2008-01-18
13,14.941424369812,2008-01-22
14,13.3507089614868,2008-01-23
15,13.0175886154175,2008-01-24
16,12.480949401855499,2008-01-25
17,12.480949401855499,2008-01-28
18,12.627828598022498,2008-01-29
19,12.689266204834,2008-01-30
20,12.994546890258801,2008-01-31
21,12.8399877548218,2008-02-01
22,12.6383867263794,2008-02-04
23,12.4185476303101,2008-02-05
24,11.7119884490967,2008-02-06
25,11.6390295028687,2008-02-07
26,12.0460681915283,2008-02-08
27,12.427188873291,2008-02-11
28,11.986549377441401,2008-02-12
29,12.4223890304565,2008-02-13
30,12.2361507415771,2008-02-14
31,11.9644689559937,2008-02-15
32,11.729268074035597,2008-02-19
33,11.886707305908198,2008-02-20
34,11.667827606201199,2008-02-21
35,11.468150138855,2008-02-22
36,11.4950313568115,2008-02-25
37,11.4383907318115,2008-02-26
38,11.8041467666626,2008-02-27
39,12.4713478088379,2008-02-28
40,12.001910209655799,2008-02-29
41,11.6860694885254,2008-03-03
42,11.9635105133057,2008-03-04
43,11.951028823852502,2008-03-05
44,11.6092691421509,2008-03-06
45,11.7359886169434,2008-03-07
46,11.4902286529541,2008-03-10
47,12.225589752197301,2008-03-11
48,12.0988683700562,2008-03-12
49,12.282228469848599,2008-03-13
50,12.1545495986938,2008-03-14
51,12.1660671234131,2008-03-17
52,12.7507104873657,2008-03-18
53,12.448307991027805,2008-03-19
54,12.793908119201696,2008-03-20
55,13.3948707580566,2008-03-24
56,13.5340671539307,2008-03-25
57,13.9257478713989,2008-03-26
58,13.4639892578125,2008-03-27
59,13.7289505004883,2008-03-28
60,13.775988578796401,2008-03-31
61,14.3548669815063,2008-04-01
62,14.159028053283699,2008-04-02
63,14.5545473098755,2008-04-03
64,14.695665359497099,2008-04-04
65,14.965425491333,2008-04-07
66,14.672626495361301,2008-04-08
67,14.5382251739502,2008-04-09
68,14.836790084838901,2008-04-10
69,14.1254262924194,2008-04-11
70,14.1868677139282,2008-04-14
71,14.2444705963135,2008-04-15
72,14.755184173584,2008-04-16
73,14.831027030944801,2008-04-17
74,15.4598236083984,2008-04-18
75,16.1433429718018,2008-04-21
76,15.3791818618774,2008-04-22
77,15.637427330017099,2008-04-23
78,16.218225479126,2008-04-24
79,16.2940654754639,2008-04-25
80,16.535026550293,2008-04-28
81,16.8047847747803,2008-04-29
82,16.6991806030273,2008-04-30
83,17.2799854278564,2008-05-01
84,17.3702239990234,2008-05-02
85,17.734064102172898,2008-05-05
86,17.9193439483643,2008-05-06
87,17.5286235809326,2008-05-07
88,17.7657413482666,2008-05-08
89,17.6111888885498,2008-05-09
90,18.0633430480957,2008-05-12
91,18.2361450195312,2008-05-13
92,17.8809432983398,2008-05-14
93,18.214065551757802,2008-05-15
94,18.0115013122559,2008-05-16
95,17.6255836486816,2008-05-19
96,17.8463859558105,2008-05-20
97,17.106224060058597,2008-05-21
98,16.996780395507802,2008-05-22
99,17.3923034667969,2008-05-23
100,17.8972663879395,2008-05-27
101,17.9529399871826,2008-05-28
102,17.9222297668457,2008-05-29
103,18.1199798583984,2008-05-30
104,17.8655834197998,2008-06-02
105,17.7955017089844,2008-06-03
106,17.7782249450684,2008-06-04
107,18.185256958007802,2008-06-05
108,17.821424484252898,2008-06-06
109,17.4345417022705,2008-06-09
110,17.821424484252898,2008-06-10
111,17.3577461242676,2008-06-11
112,16.632940292358402,2008-06-12
113,16.5475025177002,2008-06-13
114,16.976627349853498,2008-06-16
115,17.4172630310059,2008-06-17
116,17.159988403320302,2008-06-18
117,17.3663845062256,2008-06-19
118,16.8259105682373,2008-06-20
119,16.6233444213867,2008-06-23
120,16.631986618042,2008-06-24
121,17.029424667358402,2008-06-25
122,16.152948379516598,2008-06-26
123,16.3286228179932,2008-06-27
124,16.0742282867432,2008-06-30
125,16.7692699432373,2008-07-01
126,16.1452674865723,2008-07-02
127,16.3315010070801,2008-07-03
128,16.8153457641602,2008-07-07
129,17.2367820739746,2008-07-08
130,16.727981567382802,2008-07-09
131,16.956468582153303,2008-07-10
132,16.5676574707031,2008-07-11
133,16.6924648284912,2008-07-14
134,16.2854270935059,2008-07-15
135,16.589744567871097,2008-07-16
136,16.4937381744385,2008-07-17
137,15.854383468627901,2008-07-18
138,15.9638252258301,2008-07-21
139,15.5539073944092,2008-07-22
140,15.960941314697301,2008-07-23
141,15.2668676376343,2008-07-24
142,15.563506126403801,2008-07-25
143,14.822384834289599,2008-07-28
144,15.0796670913696,2008-07-29
145,15.3484659194946,2008-07-30
146,15.2591867446899,2008-07-31
147,15.039344787597699,2008-08-01
148,14.710068702697802,2008-08-04
149,15.421425819397,2008-08-05
150,15.762229919433599,2008-08-06
151,15.7027082443237,2008-08-07
152,16.2767848968506,2008-08-08
153,16.6617450714111,2008-08-11
154,16.9660682678223,2008-08-12
155,17.2127857208252,2008-08-13
156,17.214702606201197,2008-08-14
157,16.8710250854492,2008-08-15
158,16.8374195098877,2008-08-18
159,16.6588649749756,2008-08-19
160,16.8806228637695,2008-08-20
161,16.7318248748779,2008-08-21
162,16.9718227386475,2008-08-22
163,16.5647830963135,2008-08-25
164,16.6694240570068,2008-08-26
165,16.7683029174805,2008-08-27
166,16.6790180206299,2008-08-28
167,16.2748680114746,2008-08-29
168,15.954220771789599,2008-09-02
169,16.028142929077102,2008-09-03
170,15.4771089553833,2008-09-04
171,15.3772640228271,2008-09-05
172,15.160306930542,2008-09-08
173,14.561266899108901,2008-09-09
174,14.5545473098755,2008-09-10
175,14.6543865203857,2008-09-11
176,14.298230171203599,2008-09-12
177,13.4745473861694,2008-09-15
178,13.428469657897901,2008-09-16
179,12.2716703414917,2008-09-17
